1772219448.39996_7419.mark-pc-ubuntu,U=7419
1772223579.39996_18647.mark-pc-ubuntu,U=18647
1772239859.39996_49928.mark-pc-ubuntu,U=49928
1772248504.39996_60549.mark-pc-ubuntu,U=60549
1772223429.39996_17899.mark-pc-ubuntu,U=17899
1772228782.39996_29914.mark-pc-ubuntu,U=29914
1772226613.39996_24390.mark-pc-ubuntu,U=24390
1772248085.39996_60105.mark-pc-ubuntu,U=60105
1772238976.39996_48640.mark-pc-ubuntu,U=48640
1772228435.39996_28805.mark-pc-ubuntu,U=28805
1772246156.39996_57780.mark-pc-ubuntu,U=57780
1772223462.39996_18000.mark-pc-ubuntu,U=18000
1772220832.39996_13238.mark-pc-ubuntu,U=13238
1772229137.39996_30763.mark-pc-ubuntu,U=30763
1772220337.39996_12376.mark-pc-ubuntu,U=12376
1772225145.39996_22249.mark-pc-ubuntu,U=22249
1772239096.39996_48829.mark-pc-ubuntu,U=48829
1772222443.39996_15195.mark-pc-ubuntu,U=15195
1772236532.39996_44295.mark-pc-ubuntu,U=44295
1772229343.39996_31155.mark-pc-ubuntu,U=31155
1772230090.39996_32643.mark-pc-ubuntu,U=32643
1772242369.39996_52961.mark-pc-ubuntu,U=52961
1772230000.39996_32277.mark-pc-ubuntu,U=32277
1772239653.39996_49686.mark-pc-ubuntu,U=49686
1772236160.39996_43722.mark-pc-ubuntu,U=43722
1772230078.39996_32586.mark-pc-ubuntu,U=32586
1772227454.39996_26420.mark-pc-ubuntu,U=26420
1772235344.39996_42424.mark-pc-ubuntu,U=42424
1772223499.39996_18218.mark-pc-ubuntu,U=18218
1772218948.39996_3720.mark-pc-ubuntu,U=3720
1772246577.39996_58350.mark-pc-ubuntu,U=58350
1772247742.39996_59749.mark-pc-ubuntu,U=59749
1772223664.39996_18970.mark-pc-ubuntu,U=18970
1772242306.39996_52878.mark-pc-ubuntu,U=52878
1772232596.39996_38032.mark-pc-ubuntu,U=38032
1772227983.39996_27815.mark-pc-ubuntu,U=27815
1772219135.39996_4996.mark-pc-ubuntu,U=4996
1772222601.39996_15665.mark-pc-ubuntu,U=15665
1772235300.39996_42344.mark-pc-ubuntu,U=42344
1772236252.39996_43869.mark-pc-ubuntu,U=43869
1772222793.39996_16221.mark-pc-ubuntu,U=16221
1772259854.39996_68027.mark-pc-ubuntu,U=68027
1772229830.39996_31983.mark-pc-ubuntu,U=31983
1772245674.39996_57072.mark-pc-ubuntu,U=57072
1772227330.39996_26079.mark-pc-ubuntu,U=26079
1772243282.39996_54298.mark-pc-ubuntu,U=54298
1772251675.39996_63309.mark-pc-ubuntu,U=63309
1772222920.39996_16516.mark-pc-ubuntu,U=16516
1772220250.39996_12150.mark-pc-ubuntu,U=12150
1772239551.39996_49550.mark-pc-ubuntu,U=49550
1772231342.39996_36052.mark-pc-ubuntu,U=36052
1772235115.39996_41975.mark-pc-ubuntu,U=41975
1772234863.39996_41487.mark-pc-ubuntu,U=41487
1772224099.39996_20362.mark-pc-ubuntu,U=20362
1772240950.39996_51130.mark-pc-ubuntu,U=51130
1772241706.39996_52072.mark-pc-ubuntu,U=52072
1772221098.39996_13541.mark-pc-ubuntu,U=13541
1772237523.39996_46216.mark-pc-ubuntu,U=46216
1772226520.39996_24219.mark-pc-ubuntu,U=24219
1772235421.39996_42553.mark-pc-ubuntu,U=42553
1772222381.39996_14991.mark-pc-ubuntu,U=14991
1772218593.39996_1386.mark-pc-ubuntu,U=1386
1772237970.39996_46952.mark-pc-ubuntu,U=46952
1772219189.39996_5493.mark-pc-ubuntu,U=5493
1772244307.39996_55540.mark-pc-ubuntu,U=55540
1772233921.39996_39736.mark-pc-ubuntu,U=39736
1772246650.39996_58444.mark-pc-ubuntu,U=58444
1772232699.39996_38223.mark-pc-ubuntu,U=38223
1772260627.39996_68378.mark-pc-ubuntu,U=68378
1772254927.39996_65488.mark-pc-ubuntu,U=65488
1772234950.39996_41667.mark-pc-ubuntu,U=41667
1772258716.39996_67490.mark-pc-ubuntu,U=67490
1772246860.39996_58717.mark-pc-ubuntu,U=58717
1772237342.39996_45894.mark-pc-ubuntu,U=45894
1772237177.39996_45610.mark-pc-ubuntu,U=45610
1772223515.39996_18308.mark-pc-ubuntu,U=18308
1772228643.39996_29432.mark-pc-ubuntu,U=29432
1772243684.39996_54842.mark-pc-ubuntu,U=54842
1772235616.39996_42860.mark-pc-ubuntu,U=42860
1772258923.39996_67587.mark-pc-ubuntu,U=67587
1772229371.39996_31206.mark-pc-ubuntu,U=31206
1772219262.39996_6215.mark-pc-ubuntu,U=6215
1772241294.39996_51561.mark-pc-ubuntu,U=51561
1772259274.39996_67754.mark-pc-ubuntu,U=67754
1772226483.39996_24140.mark-pc-ubuntu,U=24140
1772218528.39996_816.mark-pc-ubuntu,U=816
1772218953.39996_3758.mark-pc-ubuntu,U=3758
1772218739.39996_2425.mark-pc-ubuntu,U=2425
1772219248.39996_6067.mark-pc-ubuntu,U=6067
1772236163.39996_43727.mark-pc-ubuntu,U=43727
1772219808.39996_9865.mark-pc-ubuntu,U=9865
1772219859.39996_10372.mark-pc-ubuntu,U=10372
1772238558.39996_47925.mark-pc-ubuntu,U=47925
1772250716.39996_62553.mark-pc-ubuntu,U=62553
1772236352.39996_44017.mark-pc-ubuntu,U=44017
1772223517.39996_18320.mark-pc-ubuntu,U=18320
1772226036.39996_23373.mark-pc-ubuntu,U=23373
1772248858.39996_60904.mark-pc-ubuntu,U=60904
1772248153.39996_60179.mark-pc-ubuntu,U=60179
1772220025.39996_11372.mark-pc-ubuntu,U=11372
1772256949.39996_66604.mark-pc-ubuntu,U=66604
1772219554.39996_7866.mark-pc-ubuntu,U=7866
1772248349.39996_60387.mark-pc-ubuntu,U=60387
1772241835.39996_52236.mark-pc-ubuntu,U=52236
1772225413.39996_22585.mark-pc-ubuntu,U=22585
1772239431.39996_49365.mark-pc-ubuntu,U=49365
1772233806.39996_39563.mark-pc-ubuntu,U=39563
1772222385.39996_15008.mark-pc-ubuntu,U=15008
1772220035.39996_11422.mark-pc-ubuntu,U=11422
1772228917.39996_30280.mark-pc-ubuntu,U=30280
1772226833.39996_24791.mark-pc-ubuntu,U=24791
1772250004.39996_61950.mark-pc-ubuntu,U=61950
1772218849.39996_3163.mark-pc-ubuntu,U=3163
1772228924.39996_30301.mark-pc-ubuntu,U=30301
1772223488.39996_18151.mark-pc-ubuntu,U=18151
1772245607.39996_56998.mark-pc-ubuntu,U=56998
1772251183.39996_62931.mark-pc-ubuntu,U=62931
1772232481.39996_37789.mark-pc-ubuntu,U=37789
1772218498.39996_527.mark-pc-ubuntu,U=527
1772238385.39996_47641.mark-pc-ubuntu,U=47641
1772235416.39996_42543.mark-pc-ubuntu,U=42543
1772230695.39996_34377.mark-pc-ubuntu,U=34377
1772219181.39996_5428.mark-pc-ubuntu,U=5428
1772219546.39996_7839.mark-pc-ubuntu,U=7839
1772218956.39996_3785.mark-pc-ubuntu,U=3785
1772227004.39996_25181.mark-pc-ubuntu,U=25181
1772245568.39996_56951.mark-pc-ubuntu,U=56951
1772251270.39996_62997.mark-pc-ubuntu,U=62997
1772230425.39996_33657.mark-pc-ubuntu,U=33657
1772228869.39996_30139.mark-pc-ubuntu,U=30139
1772242248.39996_52798.mark-pc-ubuntu,U=52798
1772237395.39996_45993.mark-pc-ubuntu,U=45993
1772226054.39996_23400.mark-pc-ubuntu,U=23400
1772239051.39996_48756.mark-pc-ubuntu,U=48756
1772220164.39996_11882.mark-pc-ubuntu,U=11882
1772228376.39996_28701.mark-pc-ubuntu,U=28701
1772231461.39996_36315.mark-pc-ubuntu,U=36315
1772219016.39996_4187.mark-pc-ubuntu,U=4187
1772223317.39996_17508.mark-pc-ubuntu,U=17508
1772242947.39996_53807.mark-pc-ubuntu,U=53807
1772232036.39996_37217.mark-pc-ubuntu,U=37217
1772230240.39996_33117.mark-pc-ubuntu,U=33117
1772226690.39996_24525.mark-pc-ubuntu,U=24525
1772238469.39996_47770.mark-pc-ubuntu,U=47770
1772237634.39996_46391.mark-pc-ubuntu,U=46391
1772220793.39996_13186.mark-pc-ubuntu,U=13186
1772222721.39996_16026.mark-pc-ubuntu,U=16026
1772227355.39996_26136.mark-pc-ubuntu,U=26136
1772221217.39996_13657.mark-pc-ubuntu,U=13657
1772218960.39996_3818.mark-pc-ubuntu,U=3818
1772248584.39996_60629.mark-pc-ubuntu,U=60629
1772222216.39996_14588.mark-pc-ubuntu,U=14588
1772224213.39996_20683.mark-pc-ubuntu,U=20683
1772222301.39996_14719.mark-pc-ubuntu,U=14719
1772220436.39996_12597.mark-pc-ubuntu,U=12597
1772247849.39996_59864.mark-pc-ubuntu,U=59864
1772236558.39996_44334.mark-pc-ubuntu,U=44334
1772238654.39996_48089.mark-pc-ubuntu,U=48089
1772219689.39996_8605.mark-pc-ubuntu,U=8605
1772229148.39996_30783.mark-pc-ubuntu,U=30783
1772228587.39996_29186.mark-pc-ubuntu,U=29186
1772253028.39996_64277.mark-pc-ubuntu,U=64277
1772225507.39996_22696.mark-pc-ubuntu,U=22696
1772223819.39996_19476.mark-pc-ubuntu,U=19476
1772233646.39996_39359.mark-pc-ubuntu,U=39359
1772234840.39996_41444.mark-pc-ubuntu,U=41444
1772223395.39996_17786.mark-pc-ubuntu,U=17786
1772233074.39996_38746.mark-pc-ubuntu,U=38746
1772222095.39996_14412.mark-pc-ubuntu,U=14412
1772228189.39996_28319.mark-pc-ubuntu,U=28319
1772244279.39996_55508.mark-pc-ubuntu,U=55508
1772246558.39996_58324.mark-pc-ubuntu,U=58324
1772236073.39996_43568.mark-pc-ubuntu,U=43568
1772224396.39996_21083.mark-pc-ubuntu,U=21083
1772236533.39996_44297.mark-pc-ubuntu,U=44297
1772238393.39996_47654.mark-pc-ubuntu,U=47654
1772253557.39996_64633.mark-pc-ubuntu,U=64633
1772241218.39996_51454.mark-pc-ubuntu,U=51454
1772240543.39996_50615.mark-pc-ubuntu,U=50615
1772225396.39996_22568.mark-pc-ubuntu,U=22568
1772236900.39996_45050.mark-pc-ubuntu,U=45050
1772228290.39996_28525.mark-pc-ubuntu,U=28525
1772234738.39996_41241.mark-pc-ubuntu,U=41241
1772224727.39996_21727.mark-pc-ubuntu,U=21727
1772258797.39996_67529.mark-pc-ubuntu,U=67529
1772240945.39996_51123.mark-pc-ubuntu,U=51123
1772221604.39996_13991.mark-pc-ubuntu,U=13991
1772224827.39996_21867.mark-pc-ubuntu,U=21867
1772231316.39996_35982.mark-pc-ubuntu,U=35982
1772250721.39996_62557.mark-pc-ubuntu,U=62557
1772236675.39996_44502.mark-pc-ubuntu,U=44502
1772234651.39996_41046.mark-pc-ubuntu,U=41046
1772222711.39996_16005.mark-pc-ubuntu,U=16005
1772249838.39996_61808.mark-pc-ubuntu,U=61808
1772222565.39996_15535.mark-pc-ubuntu,U=15535
1772219652.39996_8177.mark-pc-ubuntu,U=8177
1772236816.39996_44865.mark-pc-ubuntu,U=44865
1772226343.39996_23890.mark-pc-ubuntu,U=23890
1772231649.39996_36686.mark-pc-ubuntu,U=36686
1772219250.39996_6088.mark-pc-ubuntu,U=6088
1772224717.39996_21708.mark-pc-ubuntu,U=21708
1772236817.39996_44869.mark-pc-ubuntu,U=44869
1772234754.39996_41275.mark-pc-ubuntu,U=41275
1772229097.39996_30684.mark-pc-ubuntu,U=30684
1772245172.39996_56506.mark-pc-ubuntu,U=56506
